kav_ref,nama_jalan,nama_blok,nomor,luas_bangunan,luas_tanah
08.JRP002.H04.0002,JERAPAH 2,H4,2,80,120
19.GBT015.D06.0002,Graha Bakti  15,D6,2,80,120
17.CLW008.B16.0026,CILIWUNG 8,B16,26,80,120
25.CMNTRY.D00.0018,CimandiriTmrRy,D,18,80,120
10.KHD000.02B.001C,Ki Hajar Dewant,02B,1C,80,120
10.KHD000.02C.004C,Ki Hajar Dewant,02C,4C,80,120
10.KHD000.02B.001A,Ki Hajar Dewant,02B,1A,80,120
10.KHD000.02B.002A,Ki Hajar Dewant,02B,2A,80,120
10.KHD000.02B.002B,Ki Hajar Dewant,02B,2B,80,120
39.ARIFIN.B00.012B,ARIFIN C NOOR,B,12B,80,120
39.DJAMAL.A01.0027,DJAMALUDIN MALI,A1,27,80,120
39.DJAMAL.A01.0028,DJAMALUDIN MALI,A1,28,80,120
24.SYARYA.B04.0001,SYAILENDRA RAYA,B4,12,80,120
46.OSC001.C8B.0001,OSCAR 01,C8B,1,80,120
47.DWD003.D16.0022,DOUWES DEKKER 3,D16,22,80,120
47.DWD003.D16.0023,DOUWES DEKKER 3,D16,23,80,120
47.DWD003.D16.0025,DOUWES DEKKER 3,D16,25,80,120
47.DWD003.D16.0027,DOUWES DEKKER 3,D16,27,80,120
47.DWD003.D16.0028,DOUWES DEKKER 3,D16,28,80,120